Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att...30,Cmp%,PrgP,Carries,PrgC,Att...35,Succ,Match Report
2/21/2024,Wed,MLS,Regular Season,Home,W 2–0,Inter Miami,Real Salt Lake,Y*,"RW,FW",90,0,1,0,0,4,1,0,0,84,1,0,0,0.5,0.5,0.2,10,2,56,73,76.7,15,55,6,4,2,Match Report
2/25/2024,Sun,MLS,Regular Season,Away,D 1–1,Inter Miami,LA Galaxy,Y*,RW,90,1,0,0,0,8,3,0,0,73,2,0,0,0.4,0.4,0,6,1,48,60,80,17,44,6,2,1,Match Report
3/2/2024,Sat,MLS,Regular Season,Home,W 5–0,Inter Miami,Orlando City,Y*,RW,90,2,0,0,0,5,2,0,0,48,0,1,0,0.9,0.9,0,3,1,32,36,88.9,6,35,2,8,4,Match Report
4/6/2024,Sat,MLS,Regular Season,Home,D 2–2,Inter Miami,Colorado Rapids,N,CM,45,1,0,0,0,5,2,0,0,52,1,0,1,0.2,0.2,0.1,7,1,35,43,81.4,10,36,4,3,1,Match Report
4/13/2024,Sat,MLS,Regular Season,Away,W 3–2,Inter Miami,Sporting KC,Y*,RW,90,1,1,0,0,4,2,0,0,57,1,0,0,0.2,0.2,0.2,2,1,38,49,77.6,10,50,3,5,4,Match Report
4/20/2024,Sat,MLS,Regular Season,Home,W 3–1,Inter Miami,Nashville SC,Y*,RW,90,2,1,1,1,4,3,0,0,54,0,0,0,2,1.2,0.3,4,1,34,42,81,9,29,5,8,3,Match Report
4/27/2024,Sat,MLS,Regular Season,Away,W 4–1,Inter Miami,NE Revolution,Y*,RW,90,2,2,0,0,5,4,0,0,69,3,0,1,2,2,0.2,4,2,42,50,84,7,43,3,5,2,Match Report
5/4/2024,Sat,MLS,Regular Season,Home,W 6–2,Inter Miami,NY Red Bulls,Y*,RW,90,1,5,0,0,5,2,0,0,63,1,0,0,0.6,0.6,1.8,9,6,36,49,73.5,6,48,6,8,3,Match Report
5/11/2024,Sat,MLS,Regular Season,Away,W 3–2,Inter Miami,CF Montréal,Y*,FW,90,0,0,0,0,3,1,0,0,51,0,0,1,0.3,0.3,0.1,6,2,32,45,71.1,6,31,4,4,3,Match Report
5/18/2024,Sat,MLS,Regular Season,Home,W 1–0,Inter Miami,D.C. United,Y*,RW,90,0,0,0,0,3,0,0,0,64,1,0,0,0.2,0.2,0,3,0,31,47,66,4,38,1,8,5,Match Report
5/29/2024,Wed,MLS,Regular Season,Home,L 1–3,Inter Miami,Atlanta Utd,Y*,RW,90,1,0,0,0,4,2,0,0,85,0,1,1,0.2,0.2,0.1,5,0,56,72,77.8,13,55,5,5,2,Match Report
6/1/2024,Sat,MLS,Regular Season,Home,D 3–3,Inter Miami,St. Louis,Y*,RW,90,1,0,0,0,7,3,0,0,75,2,0,0,0.7,0.7,0.2,15,3,40,55,72.7,14,59,3,15,9,Match Report
6/9/2024,Sun,Friendlies (M),Friendlies (M),Neutral,W 1–0,ar Argentina,ec Ecuador,N,NA,35,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match Report
6/14/2024,Fri,Friendlies (M),Friendlies (M),Neutral,W 4–1,ar Argentina,gt Guatemala,Y*,FW,90,2,1,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match Report
6/20/2024,Thu,Copa América,Group stage,Neutral,W 2–0,ar Argentina,ca Canada,Y*,FW,90,0,1,0,0,6,2,0,0,60,0,0,1,0.6,0.6,1.5,9,2,40,45,88.9,8,38,2,6,1,Match Report
6/25/2024,Tue,Copa América,Group stage,Neutral,W 1–0,ar Argentina,cl Chile,Y*,FW,90,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0.9,7,0,35,39,89.7,5,27,1,11,7,Match Report
7/4/2024,Thu,Copa América,Quarter-finals,Neutral,D 1 (4)–1 (2),ar Argentina,ec Ecuador,Y*,FW,90,0,0,0,0,1,1,0,0,29,0,0,0,0.2,0.2,0.1,3,1,21,26,80.8,3,15,1,1,0,Match Report
7/9/2024,Tue,Copa América,Semi-finals,Neutral,W 2–0,ar Argentina,ca Canada,Y*,FW,90,1,0,0,0,4,1,0,0,40,0,0,0,0.9,0.9,0,3,0,24,31,77.4,6,24,3,3,0,Match Report
7/14/2024,Sun,Copa América,Final,Neutral,W 1–0,ar Argentina,co Colombia,Y*,FW,65,0,0,0,0,1,1,0,0,38,0,0,0,0.2,0.2,0,2,0,29,37,78.4,3,27,3,5,4,Match Report
9/14/2024,Sat,MLS,Regular Season,Home,W 3–1,Inter Miami,Philadelphia Union,Y*,AM,90,2,1,0,0,4,2,1,0,73,0,0,0,0.6,0.6,0.3,7,2,49,63,77.8,9,64,5,3,1,Match Report
9/18/2024,Wed,MLS,Regular Season,Away,D 2–2,Inter Miami,Atlanta Utd,N,AM,30,0,0,0,0,2,1,0,0,24,0,0,0,0.2,0.2,0,5,0,18,20,90,6,22,3,2,2,Match Report
9/21/2024,Sat,MLS,Regular Season,Away,D 1–1,Inter Miami,NYCFC,Y*,FW,90,0,0,0,0,1,0,0,0,42,0,0,0,0.1,0.1,0,2,1,25,33,75.8,7,29,3,3,1,Match Report
9/28/2024,Sat,MLS,Regular Season,Home,D 1–1,Inter Miami,Charlotte,Y*,FW,90,1,0,0,0,10,5,1,0,75,2,0,0,0.8,0.8,0.4,8,0,36,54,66.7,13,47,5,9,4,Match Report
10/2/2024,Wed,MLS,Regular Season,Away,W 3–2,Inter Miami,Columbus Crew,Y*,RW,90,2,0,0,0,3,2,0,0,63,1,0,0,0.9,0.9,0.1,3,0,40,52,76.9,7,43,3,4,3,Match Report
10/5/2024,Sat,MLS,Regular Season,Away,W 1–0,Inter Miami,Toronto FC,N,FW,30,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0,1,0,13,15,86.7,4,12,1,3,3,Match Report
10/10/2024,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,ar Argentina,ve Venezuela,Y*,FW,90,0,0,0,0,2,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match Report
