actor,partner,prosocial,selfish,prosocial_color,selfish_color
A,I,22,8,green,purple
A,G,16,14,yellow,black
A,H,22,8,blue,red
A,none,16,14,pink,gray
B,H,18,12,black,yellow
B,C,23,7,purple,green
B,D,19,11,blue,red
B,none,16,14,gray,pink
C,B,18,12,yellow,black
C,F,19,11,red,blue
C,E,20,10,green,purple
C,none,17,13,gray,pink
D,C,19,11,black,yellow
D,B,15,15,green,purple
D,I,16,14,blue,red
D,none,8,22,pink,gray
E,C,14,16,purple,green
E,I,14,16,blue,red
E,J,20,10,black,yellow
E,none,12,18,pink,gray
F,I,18,12,green,purple
F,A,18,12,red,blue
F,D,11,19,black,yellow
F,none,14,16,gray,pink
G,J,16,14,red,blue
G,F,15,15,black,yellow
G,A,6,4,purple,green
